,CO,DOWNSTREAM,UPSTREAM,DATE_TIME
1149288,ALB,317665141.67825,59822212.21016,2020-03-18 00:00:00
1149289,ALB,288043232.652974,63825440.258177,2020-03-18 00:15:00
1149290,ALB,248537037.15039,72494645.953916,2020-03-18 00:30:00
1149291,ALB,224738104.491188,62922947.485141,2020-03-18 00:45:00
1149292,ALB,213029205.988721,55409581.465923,2020-03-18 01:00:00
1149293,ALB,202060890.744356,86760980.291089,2020-03-18 01:15:00
1149294,ALB,182681178.675405,56288519.031647,2020-03-18 01:30:00
1149295,ALB,180847175.184147,49082305.622799,2020-03-18 01:45:00
1149296,ALB,164919351.100851,54318456.619868,2020-03-18 02:00:00
1149297,ALB,162293733.302593,71476423.947329,2020-03-18 02:15:00
1149298,ALB,150461476.166093,63686740.9052,2020-03-18 02:30:00
1149299,ALB,141888820.42726,57120539.436498,2020-03-18 02:45:00
1149300,ALB,133479551.202276,24756547.041833,2020-03-18 03:00:00
1149301,ALB,132881102.006464,30057509.224767,2020-03-18 03:15:00
1149302,ALB,121703137.633292,35931596.825182,2020-03-18 03:30:00
1149303,ALB,139404483.042023,36742979.874304,2020-03-18 03:45:00
1149304,ALB,115104272.110895,36434896.90583,2020-03-18 04:00:00
1149305,ALB,114966219.784936,36649973.509104,2020-03-18 04:15:00
1149306,ALB,122348653.232544,40182325.412245,2020-03-18 04:30:00
1149307,ALB,113628492.5604,27400441.268839,2020-03-18 04:45:00
1149308,ALB,111124505.794932,16973012.546665,2020-03-18 05:00:00
1149309,ALB,113428334.783754,18267888.57944,2020-03-18 05:15:00
1149310,ALB,118598486.301519,24107003.212649,2020-03-18 05:30:00
1149311,ALB,126991356.994224,25424175.673015,2020-03-18 05:45:00
1149312,ALB,116980675.958896,24132913.489072,2020-03-18 06:00:00
1149313,ALB,117203543.038206,24017864.231744,2020-03-18 06:15:00
1149314,ALB,125007739.944762,33191644.352926,2020-03-18 06:30:00
1149315,ALB,130251175.384121,20665117.033348,2020-03-18 06:45:00
1149316,ALB,135993205.567147,22536672.933568,2020-03-18 07:00:00
1149317,ALB,150880974.70809,22160759.623408,2020-03-18 07:15:00
1149318,ALB,165730196.843025,23172272.775566,2020-03-18 07:30:00
1149319,ALB,182638625.717122,27542506.888806,2020-03-18 07:45:00
1149320,ALB,185775958.487621,30925266.292504,2020-03-18 08:00:00
1149321,ALB,219753993.656418,34653371.423764,2020-03-18 08:15:00
1149322,ALB,246931652.246374,47509844.015479,2020-03-18 08:30:00
1149323,ALB,243760436.270337,55099597.070266,2020-03-18 08:45:00
1149324,ALB,244411355.716527,47040005.991803,2020-03-18 09:00:00
1149325,ALB,275615529.267902,57157411.494931,2020-03-18 09:15:00
1149326,ALB,286605746.332818,70380219.800745,2020-03-18 09:30:00
1149327,ALB,288428728.157438,69970226.225518,2020-03-18 09:45:00
1149328,ALB,284787544.638932,59776057.681007,2020-03-18 10:00:00
1149329,ALB,280129502.485458,70541939.338726,2020-03-18 10:15:00
1149330,ALB,282286329.426094,63201425.678267,2020-03-18 10:30:00
1149331,ALB,281311720.921478,65886052.814657,2020-03-18 10:45:00
1149332,ALB,277361626.834312,61756815.794115,2020-03-18 11:00:00
1149333,ALB,301945219.169745,60509307.055444,2020-03-18 11:15:00
1149334,ALB,302118297.955209,63770332.220393,2020-03-18 11:30:00
1149335,ALB,281734284.71918,56831308.087094,2020-03-18 11:45:00
1149336,ALB,281713836.309382,51475630.237618,2020-03-18 12:00:00
1149337,ALB,280830783.095118,43938497.451226,2020-03-18 12:15:00
1149338,ALB,268958718.338968,44191130.045839,2020-03-18 12:30:00
1149339,ALB,271494910.535406,47375851.389276,2020-03-18 12:45:00
1149340,ALB,294222041.671162,45010409.491666,2020-03-18 13:00:00
1149341,ALB,289858464.119083,51796093.48329,2020-03-18 13:15:00
1149342,ALB,292229127.711297,55019355.498419,2020-03-18 13:30:00
1149343,ALB,289088219.64851,49951105.923513,2020-03-18 13:45:00
1149344,ALB,287027572.216717,49406818.14644,2020-03-18 14:00:00
1149345,ALB,304158243.533228,55462696.307356,2020-03-18 14:15:00
1149346,ALB,313946504.061257,61586955.545226,2020-03-18 14:30:00
1149347,ALB,341939916.402397,64260986.206272,2020-03-18 14:45:00
1149348,ALB,339958778.893219,80213842.193513,2020-03-18 15:00:00
1149349,ALB,325375456.811304,77141875.135405,2020-03-18 15:15:00
1149350,ALB,330484136.502596,63479188.070015,2020-03-18 15:30:00
1149351,ALB,322623756.188274,64316851.257683,2020-03-18 15:45:00
1149352,ALB,287552685.964225,65127698.125125,2020-03-18 16:00:00
1149353,ALB,279121218.041016,83615372.768455,2020-03-18 16:15:00
1149354,ALB,316004316.582124,120749977.094263,2020-03-18 16:30:00
1149355,ALB,307210972.924474,69515842.352743,2020-03-18 16:45:00
1149356,ALB,348773922.660718,59638495.503985,2020-03-18 17:00:00
1149357,ALB,350509588.153357,64192744.447925,2020-03-18 17:15:00
1149358,ALB,328531552.611244,68502180.345483,2020-03-18 17:30:00
1149359,ALB,321679245.104685,65805368.144957,2020-03-18 17:45:00
1149360,ALB,326535586.910475,69019083.804318,2020-03-18 18:00:00
1149361,ALB,346262468.50909,77740433.541645,2020-03-18 18:15:00
1149362,ALB,330425541.396079,62696584.99492,2020-03-18 18:30:00
1149363,ALB,359438463.427367,46724513.702369,2020-03-18 18:45:00
1149364,ALB,384686326.126474,47403159.794185,2020-03-18 19:00:00
1149365,ALB,406106834.258077,62599006.173015,2020-03-18 19:15:00
1149366,ALB,452293925.086382,69779746.177636,2020-03-18 19:30:00
1149367,ALB,491493097.00404,66131889.972663,2020-03-18 19:45:00
1149368,ALB,505450546.212712,66298452.465368,2020-03-18 20:00:00
1149369,ALB,534905682.507726,74284938.428694,2020-03-18 20:15:00
1149370,ALB,573258702.327074,70156264.00768,2020-03-18 20:30:00
1149371,ALB,578130195.568184,67441822.853046,2020-03-18 20:45:00
1149372,ALB,591803029.778997,69178482.637066,2020-03-18 21:00:00
1149373,ALB,589462833.034207,81789821.240423,2020-03-18 21:15:00
1149374,ALB,598941808.143369,81149403.598089,2020-03-18 21:30:00
1149375,ALB,571228720.866643,77603979.783967,2020-03-18 21:45:00
1149376,ALB,567429381.838983,79832158.315528,2020-03-18 22:00:00
1149377,ALB,538045671.873113,66467735.6508,2020-03-18 22:15:00
1149378,ALB,510063245.021444,51502631.974665,2020-03-18 22:30:00
1149379,ALB,463220067.839197,53581222.974433,2020-03-18 22:45:00
1149380,ALB,437824287.065685,45757243.012904,2020-03-18 23:00:00
1149381,ALB,408640362.216507,47268558.406243,2020-03-18 23:15:00
1149382,ALB,381520918.394574,64036001.025158,2020-03-18 23:30:00
1149383,ALB,329499379.817281,72122277.422527,2020-03-18 23:45:00
1150728,ALB,301154856.796012,76502055.093361,2020-03-19 00:00:00
