150	# nr of days		
6	# nr of rounds		
7	# nr of teams		
day nr	round	isMatchDay	Saturday	Sunday	holiday
1	1	1	1	0	0
2	1	1	0	1	0
3	1	1	0	0	0
4	1	1	0	0	0
5	1	0	0	0	0
6	1	1	0	0	0
7	1	1	0	0	0
8	1	1	1	0	0
9	1	1	0	1	0
10	1	1	0	0	0
11	1	1	0	0	0
12	1	0	0	0	0
13	1	1	0	0	0
14	1	1	0	0	0
15	1	1	1	0	0
16	1	1	0	1	0
17	1	1	0	0	0
18	1	1	0	0	0
19	1	0	0	0	0
20	1	1	0	0	0
21	1	1	0	0	0
22	1	1	1	0	0
23	1	1	0	1	0
24	1	1	0	0	0
25	2	1	0	0	0
26	2	0	0	0	0
27	2	1	0	0	0
28	2	1	0	0	0
29	2	1	1	0	0
30	2	1	0	1	0
31	2	1	0	0	0
32	2	1	0	0	0
33	2	0	0	0	0
34	2	1	0	0	0
35	2	1	0	0	0
36	2	1	1	0	0
37	2	1	0	1	0
38	2	1	0	0	0
39	2	1	0	0	0
40	2	0	0	0	0
41	2	1	0	0	0
42	2	1	0	0	0
43	2	1	1	0	0
44	2	1	0	1	0
45	2	1	0	0	0
46	2	1	0	0	0
47	2	0	0	0	0
48	2	1	0	0	0
49	2	1	0	0	0
50	3	1	1	0	0
51	3	1	0	1	0
52	3	1	0	0	0
53	3	1	0	0	0
54	3	0	0	0	0
55	3	1	0	0	0
56	3	1	0	0	0
57	3	1	1	0	0
58	3	1	0	1	0
59	3	1	0	0	0
60	3	1	0	0	0
61	3	0	0	0	0
62	3	1	0	0	0
63	3	1	0	0	0
64	3	1	1	0	0
65	3	1	0	1	0
66	3	1	0	0	0
67	3	1	0	0	0
68	3	0	0	0	0
69	3	1	0	0	0
70	3	1	0	0	0
71	3	1	1	0	0
72	3	1	0	1	0
73	3	1	0	0	0
74	4	1	0	0	1
75	4	0	0	0	0
76	4	1	0	0	0
77	4	1	0	0	0
78	4	1	1	0	0
79	4	1	0	1	0
80	4	1	0	0	0
81	4	1	0	0	1
82	4	0	0	0	0
83	4	1	0	0	0
84	4	1	0	0	0
85	4	1	1	0	0
86	4	1	0	1	0
87	4	1	0	0	0
88	4	1	0	0	0
89	4	0	0	0	0
90	4	1	0	0	0
91	4	1	0	0	0
92	4	1	1	0	0
93	4	1	0	1	0
94	4	1	0	0	0
95	4	1	0	0	0
96	4	0	0	0	0
97	4	1	0	0	0
98	4	1	0	0	0
99	4	0	1	0	0
100	4	0	0	1	0
101	4	0	0	0	0
102	4	0	0	0	0
103	4	0	0	0	0
104	5	1	0	0	0
105	5	1	0	0	0
106	5	1	1	0	0
107	5	1	0	1	0
108	5	1	0	0	0
109	5	1	0	0	0
110	5	0	0	0	0
111	5	1	0	0	0
112	5	1	0	0	0
113	5	1	1	0	0
114	5	1	0	1	0
115	5	1	0	0	1
116	5	1	0	0	1
117	5	1	0	0	1
118	5	1	0	0	0
119	5	1	0	0	0
120	5	1	1	0	0
121	5	1	0	1	0
122	5	1	0	0	0
123	5	1	0	0	0
124	5	0	0	0	0
125	5	1	0	0	0
126	5	1	0	0	0
127	6	1	1	0	0
128	6	1	0	1	0
129	6	1	0	0	0
130	6	1	0	0	0
131	6	0	0	0	0
132	6	1	0	0	0
133	6	1	0	0	0
134	6	1	1	0	0
135	6	1	0	1	0
136	6	1	0	0	0
137	6	1	0	0	0
138	6	0	0	0	0
139	6	1	0	0	0
140	6	1	0	0	1
141	6	1	1	0	0
142	6	1	0	1	0
143	6	1	0	0	0
144	6	1	0	0	0
145	6	0	0	0	0
146	6	1	0	0	0
147	6	1	0	0	0
148	6	1	1	0	0
149	6	1	0	1	0
150	6	1	0	0	0
